label,frame,level,p^2 [GeV^2],p^2 (95CI lower)[GeV^2],p^2 (95CI upper)[GeV^2]
N300,P000,0,-0.05277567161663502,-0.05808334845906195,-0.047490638793537446
N300,P000,1,0.22094052594997057,0.21521005040156477,0.22635286071536348
N300,P000,2,0.5304389559895297,0.5230769988797314,0.5374801259166605
N300,P001,0,-0.004603792277298091,-0.01071098787052349,0.0008788491574630995
N300,P001,1,0.28944236699316606,0.2817954281558589,0.297300363160843
N300,P011,0,0.04101058793010831,0.03466759347196674,0.0478963012288472
N300,P011,1,0.11526348110648132,0.1123733058054374,0.1179122638404899
N300,P111,0,0.0880117638240391,0.07752336620954697,0.09864340896952964
N300,P111,1,0.15990824049628038,0.15384114044577382,0.16585042025400754
N300,P002,0,-0.0508655003831022,-0.05529379611676776,-0.0464960857319353
N202,P000,0,-0.03960702126744324,-0.04299076348397872,-0.03609230192935026
N202,P000,1,0.10862978799374923,0.10304482429375583,0.11457309672968938
N202,P000,2,0.28737387540312914,0.2808015550913191,0.2947328214398801
N202,P001,0,-0.016389895529557823,-0.02077339736804801,-0.011742701828992706
N202,P001,1,0.14817106817795297,0.14303045662182304,0.15400703653873904
N202,P011,0,0.004467180909699834,-0.0012080214113691812,0.010462784006073207
N202,P011,1,0.07094963479877424,0.06911772836141794,0.07282601283290585
N202,P111,0,0.019594567338458997,0.011536936870004361,0.028325870248019223
N202,P111,1,0.10413800690423504,0.1021665205295174,0.10615723736512568
N202,P002,0,-0.03485252321078454,-0.03803470688829577,-0.03147478201237119
H200,P000,0,-0.09157840160267557,-0.10368701794472024,-0.0789612702545018
H200,P000,1,0.314299137607227,0.29362923514969735,0.3349285451101223
H200,P000,2,0.7765955159467751,0.7045101680949911,0.8577179695440422
H200,P001,0,-0.01808701261395616,-0.02796284910091706,-0.007949972447887444
H200,P001,1,0.3948069395988672,0.37549047971330235,0.41482558172772405
H200,P011,0,0.055277606076287594,0.046970271093582816,0.06432482724152871
H200,P011,1,0.1324113915137249,0.12147857015844168,0.1432149860433345
H200,P111,0,0.14259752740682294,0.12072278823124476,0.1670045125411799
H200,P111,1,0.19523316265042628,0.1783582849517177,0.2115011112525931
H200,P002,0,-0.08605505412094246,-0.09702724666945109,-0.07400409004331428
B450,P000,0,-0.06242505789347116,-0.06462440145214068,-0.0599611333753581
B450,P000,1,0.2003477254124795,0.19711966963883387,0.2038364479328519
B450,P000,2,0.5003315554747274,0.49361984207444176,0.5071143835041471
B450,P001,0,-0.018051181740369803,-0.020609071351643637,-0.01535886808897784
B450,P001,1,0.2677256479510934,0.2639918951085165,0.27136405422039755
B450,P011,0,0.023675027401958388,0.020343101396074544,0.02728845144777827
B450,P011,1,0.1046992593789026,0.10180284321872303,0.10765225622438793
B450,P111,0,0.06341868499952402,0.05907683353606541,0.06885043504255613
B450,P111,1,0.1553364636941749,0.15250657226641365,0.15820626296700932
B450,P002,0,-0.059399905324604346,-0.061592916934867556,-0.05716690270492919
H101,P000,0,-0.06939132016234417,-0.07835395014124304,-0.06041251552814822
H101,P000,1,0.1380370614440041,0.13136030249484817,0.14459856153867195
H101,P000,2,0.3696933306625542,0.3567522712357033,0.38271249161048815
H101,P001,0,-0.041092523647115,-0.05281331222448143,-0.029882030232282482
H101,P001,1,0.1914880121032009,0.18471421261029222,0.19859924398903775
H101,P011,0,-0.00035733511796380406,-0.006997323424985625,0.006017499664597316
H101,P011,1,0.0823766714692003,0.07797519697765025,0.08681004540301263
H101,P111,0,0.030405287713783986,0.0211107744463876,0.03993513279923325
H101,P111,1,0.12413283515163513,0.11917519086132992,0.12902794851959462
H101,P002,0,-0.05258956769318257,-0.05701561498699044,-0.048267739106940204
U103,P000,0,-0.10537420752306231,-0.1136024069951192,-0.09682342504773761
U103,P000,1,0.27032586274735965,0.24972728743785821,0.2903116800240071
U103,P000,2,0.7457199907410929,0.6536081349146705,0.8402306632848546
U103,P001,0,-0.04305311199150219,-0.05458693263497392,-0.030241198378046622
U103,P001,1,0.3634451581935155,0.343217696062081,0.3839168404719215
U103,P011,0,0.03379058329555312,0.024242601905550522,0.04390209412540112
U103,P011,1,0.11911691198927252,0.11073024591943802,0.12745970352711078
U103,P111,0,0.10667785029900104,0.08788381883028748,0.12488766533618956
U103,P111,1,0.20113136877647037,0.18569756598016823,0.217228273338718
U103,P002,0,-0.10214501555653048,-0.11160401785728664,-0.09147891581225243
A653,P000,0,-0.08746686719771592,-0.09366208046331584,-0.08144067173368383
A653,P000,1,0.19992886144871058,0.19104909792747857,0.20944445491489022
A653,P000,2,0.5135868778468369,0.5074648187627769,0.5207291195404584
A653,P001,0,-0.04398772366373841,-0.05096328181795973,-0.03729560528851963
A653,P001,1,0.2613933021656812,0.2520866305026379,0.2704945592925919
A653,P011,0,-0.001793511892009592,-0.00983164493339389,0.005741944954344928
A653,P011,1,0.0866928239195902,0.07353161757384817,0.0989486635559189
A653,P111,0,0.042199327151629974,0.030086042479960995,0.05351122499906495
A653,P111,1,0.14175081852199106,0.12907329864249453,0.1533507675761268
A653,P002,0,-0.07972471522838451,-0.08560720785571797,-0.07375250903882428
E5,P000,0,-0.07837823977517074,-0.08368823307645738,-0.07341701376175305
E5,P000,1,0.2854431024333185,0.2744667147714895,0.2955467429831648
E5,P000,2,0.69842460673806,0.6802733607326891,0.7166042158208625
E5,P001,0,-0.01799240733678936,-0.026103425655208023,-0.010102642258408179
E5,P001,1,0.37801530177932874,0.3653336113302958,0.3914659674601616
E5,P011,0,0.04739199493235793,0.035399895123838,0.05909115491852314
E5,P011,1,0.13816205578426827,0.13354028592601902,0.14296239087667148
E5,P111,0,0.11875139907768369,0.09845957186543572,0.14084346059202998
E5,P111,1,0.20546899974218444,0.19815622023805307,0.21319730503621162
E5,P002,0,-0.07104470929698754,-0.07876095471540956,-0.0629695511049902
E1,P000,0,-0.09781105380524759,-0.10591249192126395,-0.08905423102844223
E1,P000,1,0.21632101936430312,0.19321186840394566,0.2400724319033883
E1,P000,2,0.609504766680739,0.5645915151488652,0.6589977618996826
E1,P001,0,-0.05165366760297444,-0.062485794161623066,-0.03984308677831346
E1,P001,1,0.2977372377298813,0.2830417920027891,0.3123027696034171
E1,P011,0,-0.01390603596288844,-0.02852084170486684,0.0013633197732058331
E1,P011,1,0.15561420000673598,0.1457793321119089,0.16473184089229062
E1,P111,0,0.02104229529970221,-0.0073137434074113114,0.052522675572473115
E1,P111,1,0.20817301292047374,0.1931950046198273,0.22338597913512864
E1,P002,0,-0.08526260573338372,-0.09434528467137142,-0.0756061625933581
